_id,date,center_name,attendance_count
49150748,2025-10-10,West Penn Community Center,50
49150749,2025-10-09,Arlington Community Center,17
49150750,2025-10-09,Brookline Community Center,33
49150751,2025-10-09,Ormsby Community Center,7
49150752,2025-10-09,Paulson Community Center,12
49150753,2025-10-09,Phillips Community Center,54
49150754,2025-10-09,Warrington Community Center,28
49150755,2025-10-09,Jefferson Community Center,45
49150756,2025-10-09,Magee Community Center,18
49150757,2025-10-09,West Penn Community Center,100
49150758,2025-10-08,Ammon Community Center,20
49150759,2025-10-08,Brookline Community Center,38
49150760,2025-10-08,Arlington Community Center,60
49150761,2025-10-08,Ormsby Community Center,7
49150762,2025-10-08,Phillips Community Center,76
49150763,2025-10-08,Paulson Community Center,13
49150764,2025-10-08,Warrington Community Center,42
49150765,2025-10-08,Magee Community Center,10
49150766,2025-10-08,Jefferson Community Center,40
49150767,2025-10-08,West Penn Community Center,95
49150768,2025-10-07,Ammon Community Center,20
49150769,2025-10-07,Arlington Community Center,33
49150770,2025-10-07,Brookline Community Center,52
49150771,2025-10-07,Ormsby Community Center,14
49150772,2025-10-07,Paulson Community Center,9
49150773,2025-10-07,Phillips Community Center,39
49150774,2025-10-07,Warrington Community Center,30
49150775,2025-10-07,Jefferson Community Center,50
49150776,2025-10-07,Magee Community Center,16
49150777,2025-10-07,West Penn Community Center,71
49150778,2025-10-06,Brookline Community Center,22
49150779,2025-10-06,Arlington Community Center,23
49150780,2025-10-06,Ormsby Community Center,14
49150781,2025-10-06,Phillips Community Center,77
49150782,2025-10-06,Paulson Community Center,11
49150783,2025-10-06,Warrington Community Center,44
49150784,2025-10-06,Magee Community Center,14
49150785,2025-10-06,Jefferson Community Center,27
49150786,2025-10-06,West Penn Community Center,63
49150787,2025-10-04,Paulson Community Center,1
49150788,2025-10-04,Phillips Community Center,1
49150789,2025-10-04,Warrington Community Center,14
49150790,2025-10-04,Magee Community Center,5
49150791,2025-10-04,West Penn Community Center,6
49150792,2025-10-03,Arlington Community Center,12
49150793,2025-10-03,Brookline Community Center,24
49150794,2025-10-03,Ormsby Community Center,9
49150795,2025-10-03,Phillips Community Center,31
49150796,2025-10-03,Warrington Community Center,28
49150797,2025-10-03,Magee Community Center,9
49150798,2025-10-03,Jefferson Community Center,37
49150799,2025-10-03,West Penn Community Center,38
49150800,2025-10-02,Ammon Community Center,15
49150801,2025-10-02,Brookline Community Center,52
49150802,2025-10-02,Arlington Community Center,5
49150803,2025-10-02,Ormsby Community Center,8
49150804,2025-10-02,Phillips Community Center,3
